created	project_machine_name	version	project_name
2013-03-07 00:19:20	drupal	7.21	Drupal core
2013-02-20 20:52:16	drupal	7.20	Drupal core
2013-01-16 22:16:09	drupal	7.19	Drupal core
2013-01-16 21:11:09	drupal	6.28	Drupal core
2012-12-19 19:03:28	drupal	7.18	Drupal core
2012-12-19 18:54:58	drupal	6.27	Drupal core
2012-11-07 21:53:08	drupal	7.17	Drupal core
2012-10-17 21:12:27	drupal	7.16	Drupal core
2012-08-01 16:37:57	drupal	7.15	Drupal core
2012-05-02 22:23:56	drupal	7.14	Drupal core
2012-05-02 22:18:58	drupal	7.13	Drupal core
2012-05-02 16:41:57	drupal	6.26	Drupal core
2012-02-29 16:52:30	drupal	6.25	Drupal core
2012-02-01 22:15:04	drupal	7.12	Drupal core
2012-02-01 22:09:57	drupal	6.24	Drupal core
2012-02-01 22:09:49	drupal	7.11	Drupal core
2012-02-01 22:06:43	drupal	6.23	Drupal core
2011-12-05 22:48:04	drupal	7.10	Drupal core
2011-10-26 20:20:45	drupal	7.9	Drupal core
2011-08-31 19:04:35	drupal	7.8	Drupal core
2011-07-28 00:30:47	drupal	7.7	Drupal core
2011-07-27 20:29:35	drupal	7.6	Drupal core
2011-07-27 20:24:18	drupal	7.5	Drupal core
2011-06-30 01:30:48	drupal	7.4	Drupal core
2011-06-30 01:25:30	drupal	7.3	Drupal core
2011-05-25 20:54:36	drupal	6.22	Drupal core
2011-05-25 20:52:53	drupal	7.2	Drupal core
2011-05-25 20:18:36	drupal	7.1	Drupal core
2011-05-25 20:18:08	drupal	6.21	Drupal core
2011-01-05 06:21:21	drupal	7.0	Drupal core
2010-12-30 04:38:13	drupal	7.0-rc4	Drupal core
2010-12-23 10:16:45	drupal	7.0-rc3	Drupal core
2010-12-15 21:15:33	drupal	6.20	Drupal core
2010-12-11 21:06:24	drupal	7.0-rc2	Drupal core
2010-12-01 07:55:27	drupal	7.0-rc1	Drupal core
2010-11-14 00:27:44	drupal	7.0-beta3	Drupal core
2010-10-23 05:34:07	drupal	7.0-beta2	Drupal core
2010-10-07 03:36:03	drupal	7.0-beta1	Drupal core
2010-09-16 01:11:37	drupal	7.0-alpha7	Drupal core
2010-08-11 20:41:57	drupal	5.23	Drupal core
2010-08-11 20:39:52	drupal	6.19	Drupal core
2010-08-11 20:26:18	drupal	6.18	Drupal core
2010-07-09 00:19:20	drupal	7.0-alpha6	Drupal core
2010-06-02 18:56:16	drupal	6.17	Drupal core
2010-05-23 15:28:31	drupal	7.0-alpha5	Drupal core
2010-04-26 21:36:27	drupal	7.0-alpha4	Drupal core
2010-03-21 17:21:11	drupal	7.0-alpha3	Drupal core
2010-03-04 00:19:47	drupal	5.22	Drupal core
2010-03-04 00:17:47	drupal	6.16	Drupal core
2010-02-21 18:41:17	drupal	7.0-alpha2	Drupal core
2010-01-15 14:41:11	drupal	7.0-alpha1	Drupal core
2009-12-16 20:51:05	drupal	6.15	Drupal core
2009-12-16 20:49:25	drupal	5.21	Drupal core
2009-09-16 19:39:58	drupal	5.20	Drupal core
2009-09-16 19:37:25	drupal	6.14	Drupal core
2009-07-01 20:56:51	drupal	5.19	Drupal core
2009-07-01 20:54:20	drupal	6.13	Drupal core
2009-05-13 19:58:46	drupal	5.18	Drupal core
2009-05-13 19:44:27	drupal	6.12	Drupal core
2009-04-30 00:17:49	drupal	6.11	Drupal core
2009-04-30 00:17:07	drupal	5.17	Drupal core
2009-02-25 23:18:35	drupal	5.16	Drupal core
2009-02-25 21:05:30	drupal	6.10	Drupal core
2009-01-14 23:35:20	drupal	6.9	Drupal core
2009-01-14 23:33:37	drupal	5.15	Drupal core
2008-12-11 17:55:52	drupal	6.8	Drupal core
2008-12-11 17:43:28	drupal	5.14	Drupal core
2008-12-10 22:40:53	drupal	5.13	Drupal core
2008-12-10 22:31:21	drupal	6.7	Drupal core
2008-10-22 19:27:13	drupal	6.6	Drupal core
2008-10-22 19:26:21	drupal	5.12	Drupal core
2008-10-08 20:15:04	drupal	6.5	Drupal core
2008-10-08 20:11:51	drupal	5.11	Drupal core
2008-08-14 00:05:51	drupal	6.4	Drupal core
2008-08-14 00:04:31	drupal	5.10	Drupal core
2008-07-23 19:59:14	drupal	5.9	Drupal core
2008-07-09 21:56:02	drupal	5.8	Drupal core
2008-07-09 21:53:38	drupal	6.3	Drupal core
2008-04-09 21:15:58	drupal	6.2	Drupal core
2008-02-27 19:51:29	drupal	6.1	Drupal core
2008-02-13 14:29:02	drupal	6.0	Drupal core
2008-02-08 23:03:44	drupal	6.0-rc4	Drupal core
2008-01-30 22:48:35	drupal	6.0-rc3	Drupal core
2008-01-29 00:05:48	drupal	5.7	Drupal core
2008-01-10 22:52:52	drupal	6.0-rc2	Drupal core
2008-01-10 22:25:24	drupal	4.7.11	Drupal core
2008-01-10 22:19:23	drupal	5.6	Drupal core
2007-12-20 22:50:23	drupal	6.0-rc1	Drupal core
2007-12-06 20:29:46	drupal	4.7.10	Drupal core
2007-12-06 20:26:57	drupal	5.5	Drupal core
2007-12-05 21:21:25	drupal	6.0-beta4	Drupal core
2007-12-05 21:19:15	drupal	5.4	Drupal core
2007-12-05 21:15:51	drupal	4.7.9	Drupal core
2007-11-21 22:36:05	drupal	6.0-beta3	Drupal core
2007-10-17 21:52:49	drupal	6.0-beta2	Drupal core
2007-10-17 21:42:36	drupal	4.7.8	Drupal core
2007-10-17 21:33:47	drupal	5.3	Drupal core
2007-09-15 07:15:39	drupal	6.0-beta1	Drupal core
2007-07-26 19:25:38	drupal	4.7.7	Drupal core
2007-07-26 19:24:07	drupal	5.2	Drupal core
2007-01-30 00:19:35	drupal	5.1	Drupal core
